#  BAND   34          
#EF=   0.00000     NDOS= 5     NENRG=  539    Gaussian bradening: 0.00300
# ENERGY    2:DZ2          2:DXY          2:DX2Y2        2:DXZ+DYZ      2:DXZ+DYZ   
  -7.84926    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.82205    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.79484    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.76763    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.74042    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.71321    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.68599    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.65878    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.63157    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.60436    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.57715    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.54994    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.52273    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.49551    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.46830    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.44109    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.41388    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.38667    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.35946    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.33225    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.30504    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.27782    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.25061    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
  -7.22340    0.00000871    0.00000000    0.00000001    0.00000000    0.00000000
  -7.19619    0.00012464    0.00000000    0.00000012    0.00000000    0.00000000
  -7.16898    0.00072344    0.00000003    0.00000084    0.00000000    0.00000000
  -7.14177    0.00209323    0.00000014    0.00000356    0.00000000    0.00000000
  -7.11456    0.00372391    0.00000041    0.00001110    0.00000002    0.00000002
  -7.08734    0.00506887    0.00000093    0.00002713    0.00000007    0.00000007
  -7.06013    0.00625780    0.00000175    0.00005337    0.00000022    0.00000022
  -7.03292    0.00740141    0.00000293    0.00008954    0.00000051    0.00000051
  -7.00571    0.00843418    0.00000450    0.00013881    0.00000092    0.00000092
  -6.97850    0.00942659    0.00000657    0.00020919    0.00000144    0.00000144
  -6.95129    0.01048075    0.00000923    0.00030646    0.00000205    0.00000205
  -6.92408    0.01160345    0.00001249    0.00043216    0.00000279    0.00000279
  -6.89686    0.01276963    0.00001640    0.00058480    0.00000369    0.00000369
  -6.86965    0.01395932    0.00002110    0.00076565    0.00000479    0.00000479
  -6.84244    0.01517626    0.00002669    0.00098763    0.00000608    0.00000608
  -6.81523    0.01646201    0.00003320    0.00126755    0.00000758    0.00000758
  -6.78802    0.01785288    0.00004062    0.00161471    0.00000927    0.00000927
  -6.76081    0.01936876    0.00004907    0.00203258    0.00001116    0.00001116
  -6.73360    0.02102642    0.00005885    0.00252397    0.00001326    0.00001326
  -6.70638    0.02285486    0.00007020    0.00309930    0.00001560    0.00001560
  -6.67917    0.02489722    0.00008320    0.00378416    0.00001818    0.00001818
  -6.65196    0.02722609    0.00009786    0.00461087    0.00002102    0.00002102
  -6.62475    0.03001318    0.00011426    0.00560255    0.00002411    0.00002411
  -6.59754    0.03357524    0.00013265    0.00677422    0.00002747    0.00002747
  -6.57033    0.03805837    0.00015348    0.00814604    0.00003114    0.00003114
  -6.54312    0.04225126    0.00017727    0.00977063    0.00003513    0.00003513
  -6.51590    0.04466742    0.00020444    0.01175324    0.00003946    0.00003946
  -6.48869    0.04607479    0.00023526    0.01418733    0.00004416    0.00004416
  -6.46148    0.04731904    0.00026988    0.01709039    0.00004922    0.00004922
  -6.43427    0.04840907    0.00030838    0.02048373    0.00005467    0.00005467
  -6.40706    0.04956156    0.00035118    0.02445834    0.00006048    0.00006048
